Time,PM1,PM25,PM10,Temperature,Humidity
2020-01-06T16:19:20,11,15,18,36.1,34
2020-01-06T16:24:20,10,14,16,35.9,36
2020-01-06T16:29:20,11,16,18,35.8,36
2020-01-06T16:34:20,11,16,18,35.5,36
2020-01-06T16:39:20,12,18,22,35.3,36
2020-01-06T16:44:20,14,20,26,35.2,36
2020-01-06T16:49:20,12,18,22,35.1,37
2020-01-06T16:54:20,13,19,24,35.1,37
2020-01-06T16:59:20,13,19,23,34.9,37
2020-01-06T17:04:20,13,20,24,34.8,38
2020-01-06T17:09:20,14,21,28,34.7,38
2020-01-06T17:14:20,16,22,25,34.7,39
2020-01-06T17:19:20,14,21,27,34.6,39
2020-01-06T17:24:19,14,21,28,34.6,39
2020-01-06T17:29:19,14,21,28,34.6,39
2020-01-06T17:34:20,16,19,26,34.6,39
2020-01-06T17:39:20,14,21,27,34.6,40
2020-01-06T17:44:20,13,20,25,34.6,40
2020-01-06T17:49:19,14,21,28,34.5,40
2020-01-06T17:54:19,14,21,28,34.4,40
2020-01-06T17:59:20,15,22,28,34.3,40
2020-01-06T18:04:20,14,22,28,34.2,41
2020-01-06T18:09:20,14,22,28,34.2,41
2020-01-06T18:14:20,14,21,28,34.1,41
2020-01-06T18:19:20,14,21,27,34.1,41
2020-01-06T18:24:20,14,22,28,34.1,41
2020-01-06T18:29:20,15,22,29,34,41
2020-01-06T18:34:20,15,23,30,33.8,42
2020-01-06T18:39:20,17,24,31,33.8,42
2020-01-06T18:44:20,15,23,31,33.8,42
2020-01-06T18:49:20,15,23,30,33.9,43
2020-01-06T18:54:20,15,23,31,33.9,43
2020-01-06T18:59:20,16,24,31,33.7,43
2020-01-06T19:04:20,16,24,32,33.6,43
2020-01-06T19:09:20,16,25,32,33.5,43
2020-01-06T19:14:20,20,29,38,33.4,44
2020-01-06T19:19:19,16,24,31,33.4,44
2020-01-06T19:24:20,16,25,34,33.4,44
2020-01-06T19:29:19,16,24,32,33.4,44
2020-01-06T19:34:20,16,24,33,33.4,45
2020-01-06T19:39:20,17,25,33,33.3,44
2020-01-06T19:44:20,17,26,36,33.3,45
2020-01-06T19:49:19,18,28,37,33.2,45
2020-01-06T19:54:20,18,27,37,33.3,46
2020-01-06T19:59:20,18,28,38,33.3,46
2020-01-06T20:04:19,18,28,39,33.3,46
2020-01-06T20:09:20,19,28,38,33.2,45
2020-01-06T20:14:20,18,29,39,33.3,45
2020-01-06T20:19:19,19,29,39,33.3,46
2020-01-06T20:24:20,19,29,40,33.2,45
2020-01-06T20:29:20,19,30,40,33.2,45
2020-01-06T20:34:19,19,29,39,33.2,46
2020-01-06T20:39:20,20,30,41,33.2,46
2020-01-06T20:44:20,20,29,40,33.2,46
2020-01-06T20:49:20,20,29,40,33.1,46
2020-01-06T20:54:20,20,30,41,33.1,46
2020-01-06T20:59:19,20,29,39,33.1,46
2020-01-06T21:04:19,21,31,42,33.1,47
2020-01-06T21:09:20,26,34,37,33,47
2020-01-06T21:14:20,20,30,41,33,47
2020-01-06T21:19:21,21,31,42,32.9,47
2020-01-06T21:24:21,21,31,42,32.9,47
2020-01-06T21:29:20,21,31,42,32.8,47
2020-01-06T21:34:20,21,31,43,32.8,47
2020-01-06T21:39:21,22,32,43,32.8,47
2020-01-06T21:44:20,22,32,44,32.7,47
2020-01-06T21:49:21,22,33,44,32.6,48
2020-01-06T21:54:21,22,32,43,32.5,48
2020-01-06T21:59:21,22,32,43,32.3,48
2020-01-06T22:04:20,22,32,43,32.2,49
2020-01-06T22:09:21,21,32,43,32.2,49
2020-01-06T22:14:21,21,31,42,32.2,49
2020-01-06T22:19:21,21,32,43,32.1,49
2020-01-06T22:24:21,21,32,43,32.1,49
2020-01-06T22:29:21,21,32,43,32,50
2020-01-06T22:34:20,21,32,43,32,50
